PONumber,PODate,VendorAcct,VendorName,ExpReceiveDate,DateReceived,SpecialInstructions1,SpecialInstructions2,MiscChgDesc,MiscChgAmt,SpecialInstructions3,WHCode,WHDescription,ApprovedBy,ConfirmationNum,NumOrderLines,PurchTotal,TaxableAmt,SalesTaxAmt,FreightAmt,PpdDeposit,TotalDue,CODAmount,TotalShipCubes,TaxAreaCode,TotalShipWgt,TaxAreaDescription,TaxRate,POPendingFlag,StatusCode,Status,POIssuedFlag,IssuedByUser,PODateIssued,POIssueMethod,POPrintedFlag,POReceivedFlag,ReceivedByUser,TransType,TransSource,FiscalYear,PostPeriod,PostPass,PostedFlag,IsBackorderFlag,POInvoicedFlag,InvcNum,POVendorName,POAddress1,POAddress2,POCity,POState,POZip,POCountry,POContactName,POTelephone,POFax,Terms,CODFlag,TaxFlag,Carrier,FrtPpdCol,MinPOAmt,MinPOWgt,MinPOCubes,ShipVendorName,ShipAddress1,ShipAddress2,ShipCity,ShipState,ShipZip,ShipAttention,ShipTelephone,EnteredTimeStamp,EnteredByUser,LastModifyTimeStamp,LastModifiedByUser
215320,10/30/2024,DADEP100,DADE PAPER,,11/1/2024,,,,,0,*MAIN,Main Warehouse,,,4,398.89,0,0,0,0,398.89,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/30/2024,EMail,N,Y,NATE,PO,PO,2024,11,2,Y,N,Y,35844500,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/30/2024 12:39:07 PM,NATE,11/1/2024 10:50:52 AM,NATE
215321,10/30/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,11/1/2024,,,,,0,*MAIN,Main Warehouse,,,5,1906.9,0,0,0,0,1906.9,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/30/2024,EMail,N,Y,NATE,PO,PO,2024,11,2,Y,N,Y,833664493,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/30/2024 12:40:43 PM,NATE,11/1/2024 11:34:28 AM,NATE
215293,10/2/2024,COAST120,COASTAL FILMS OF FLORIDA,,10/29/2024,,,,,0,*MAIN,Main Warehouse,,,3,7088,0,0,0,0,7088,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/9/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,INVF00081782,COASTAL FILMS OF FLORIDA,627 NORTH LANE AVE,,JACKSONVILLE,FL,32254,,APRIL WARREN,800-442-6781,904-781-6451,(UNASSIGNED),N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/2/2024 1:48:38 PM,NATE,10/9/2024 12:55:08 PM,NATE
215314,10/24/2024,LADPRO,BERRY,,10/29/2024,,,,,0,*MAIN,Main Warehouse,,,2,845,0,0,0,0,845,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/24/2024,Call,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,3427488,LADDAWN PRODUCTS,,155 JACKSON ROAD,DEVENS,MA,01434-5614,,,800-446-3639,800-253-5246,N30,N,N,UPS,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/24/2024 11:23:11 AM,NATE,10/24/2024 11:23:11 AM,NATE
215315,10/24/2024,DADEP100,DADE PAPER,,10/29/2024,,,,,0,*MAIN,Main Warehouse,,,10,2139.59,0,0,0,0,2139.59,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/24/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35792435,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/24/2024 2:12:29 PM,NATE,10/29/2024 8:39:12 AM,NATE
215317,10/25/2024,PALLE100,KAMPS PALLETS,,10/29/2024,,,,,0,*MAIN,Main Warehouse,,,1,165,0,0,0,0,165,165,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/25/2024,USMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,IV1087240,KAMPS PALLETS,7779 HAMMOND BOULEVARD,,JACKSONVILLE,FL,32220,,,904-781-2500,904-781-2502,COD,Y,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/25/2024 12:35:52 PM,NATE,10/25/2024 2:37:13 PM,NATE
215318,10/28/2024,DADEP100,DADE PAPER,,10/29/2024,,,,,0,*MAIN,Main Warehouse,,,11,2291.31,0,0,0,0,2291.31,0,40,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/28/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35824743,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/28/2024 2:55:42 PM,NATE,10/29/2024 11:00:55 AM,NATE
215311,10/22/2024,DADEP100,DADE PAPER,,10/24/2024,,,,,0,*MAIN,Main Warehouse,,,11,1831.29,0,0,0,0,1831.29,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/22/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35780203,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/22/2024 2:26:33 PM,NATE,10/24/2024 11:21:39 AM,NATE
215312,10/22/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/24/2024,,,,,0,*MAIN,Main Warehouse,,,3,1542.18,0,0,0,0,1542.18,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/22/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,832265359,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/22/2024 3:08:20 PM,NATE,10/24/2024 9:21:54 AM,NATE
215300,10/7/2024,NUTRIB,NUTRI-BON DISTRIBUTING CO.,,10/23/2024,,,,,0,*MAIN,Main Warehouse,,,1,1747.2,0,0,0,0,1747.2,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/14/2024,USMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,368690,FSBD GLOBAL DISTRIBUTION,350 ELLIS RD,,JACKSONVILLE,FL,32254,,CUSTOMER SERVICE,1-323-278-5425,904-744-4392,130,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 2:28:48 PM,NATE,10/14/2024 3:33:57 PM,NATE
215291-1,10/1/2024,SOUPAP,SOUTHEASTERN PAPER GROUP,,10/23/2024,,,,,0,*MAIN,Main Warehouse,,,1,1335,0,0,0,0,1335,0,0,0,,(UnAssigned),0,N,R,Received,N,,10/1/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,6271895,SOUTHEASTERN PAPER GROUP,3850-7 PORT JACKSONVILLE PARKWAY,,JACKSONVILLE,FL,32226,,TAMMY LEWIS,1-800-632-1296  X3120,,N30,N,N,Best Way,P,1000,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 11:51:46 PM,DBQ,,
215307,10/15/2024,DADEP100,DADE PAPER,,10/23/2024,,,,,0,*MAIN,Main Warehouse,,,6,1037.34,0,0,0,0,1037.34,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/15/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35708193,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/15/2024 1:51:50 PM,NATE,10/15/2024 1:51:50 PM,NATE
215298-2,10/7/2024,DADEP100,DADE PAPER,,10/23/2024,,,,,0,*MAIN,Main Warehouse,,,1,237.96,0,0,0,0,237.96,0,0,0,,(UnAssigned),0,N,R,Received,N,,10/7/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,35764236,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/16/2024 11:48:08 PM,DBQ,,
215276,9/24/2024,LADPRO,BERRY,,10/21/2024,,,,,0,*MAIN,Main Warehouse,,,9,2610.11,0,0,0,0,2610.11,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/2/2024,Call,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,3412640,LADDAWN PRODUCTS,,155 JACKSON ROAD,DEVENS,MA,01434-5614,,,800-446-3639,800-253-5246,N30,N,N,UPS,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/24/2024 12:46:48 PM,NATE,10/2/2024 2:05:54 PM,NATE
215281-1,9/25/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,1,118.98,0,0,0,0,118.98,0,0,0,,(UnAssigned),0,N,R,Received,N,,9/25/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,35640033,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/27/2024 11:47:23 PM,DBQ,,
215288,9/30/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,7,33116.75,0,0,0,0,33116.75,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/1/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35734004,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/30/2024 2:40:31 PM,NATE,10/1/2024 3:06:39 PM,NATE
215295,10/4/2024,WESPLA,WESTERN PLASTICS,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,1,4702.08,0,0,0,0,4702.08,0,3317.76,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/4/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,INV-0033208,WESTERN PLASTICS,P.O. BOX 1636,,CALHOUN,GA,30703,,michelle knapp,1(706)625-5260,706-625-0003,CC,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/4/2024 1:39:26 PM,NATE,10/4/2024 1:39:26 PM,NATE
215299,10/7/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,2,1722.55,0,0,0,0,1722.55,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/7/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,830801478,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 2:27:33 PM,NATE,10/7/2024 2:27:33 PM,NATE
215286-1,9/30/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,1,416.43,0,0,0,0,416.43,0,0,0,,(UnAssigned),0,N,R,Received,N,,9/30/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,35640034,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 11:47:20 PM,DBQ,,
215290-1,10/1/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,2,373.68,0,0,0,0,373.68,0,0,0,,(UnAssigned),0,N,R,Received,N,,10/1/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,35667594,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 11:50:49 PM,DBQ,,
215303,10/9/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,1,729,0,0,0,0,729,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/9/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35667595,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/9/2024 2:43:46 PM,NATE,10/9/2024 2:43:46 PM,NATE
215298-1,10/7/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,2,489.12,0,0,0,0,489.12,0,0,0,,(UnAssigned),0,N,R,Received,N,,10/7/2024,,N,Y,NATE,PO,PO,2024,10,2,Y,Y,Y,35640035,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/9/2024 11:47:33 PM,DBQ,,
215304,10/14/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,6,1421.58,0,0,0,0,1421.58,0,40,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/14/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35686471,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/14/2024 2:17:29 PM,NATE,10/14/2024 2:17:29 PM,NATE
215305,10/14/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,3,1259.2,0,0,0,0,1259.2,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/14/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,830801486,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/14/2024 2:18:41 PM,NATE,10/14/2024 2:18:41 PM,NATE
215306,10/14/2024,DADEP100,DADE PAPER,,10/16/2024,,,,,0,*MAIN,Main Warehouse,,,1,233.2,0,0,0,0,233.2,0,292.8,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/14/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35686473,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/14/2024 3:19:43 PM,NATE,10/14/2024 3:19:43 PM,NATE
215256,9/10/2024,SIGNO100,SIGNODE INDUSTRIAL GROUP,,10/9/2024,,,,,0,*MAIN,Main Warehouse,,,1,2573.42,0,0,0,0,2573.42,0,0,0,,(UnAssigned),0,Y,R,Received,Y,JEFF,9/10/2024,EMail,N,Y,JEFF,PO,PO,2024,10,2,Y,N,Y,1000354350,SIGNODE INDUSTRIAL GROUP,Hidden River Corporate Center Two,"12025 Riveredge Drive, Suite 500",Tampa,FL,33637,,Jessica Wright,800-323-2464,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/10/2024 9:05:56 AM,JEFF,9/10/2024 10:14:32 AM,JEFF
215296,10/4/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/9/2024,,,,,0,*MAIN,Main Warehouse,,,3,1936.22,0,0,0,0,1936.22,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/4/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,829352848,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/4/2024 1:41:02 PM,NATE,10/9/2024 11:31:32 AM,NATE
215298,10/7/2024,DADEP100,DADE PAPER,,10/9/2024,,,,,0,*MAIN,Main Warehouse,,,10,4807.39,0,0,0,0,4807.39,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/7/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35616801,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 2:26:38 PM,NATE,10/9/2024 11:32:59 AM,NATE
215301,10/8/2024,DADEP100,DADE PAPER,,10/9/2024,,,,,0,*MAIN,Main Warehouse,,,8,1204.93,0,0,0,0,1204.93,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/8/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35628381,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/8/2024 2:53:33 PM,NATE,10/9/2024 11:33:42 AM,NATE
215302,10/9/2024,LITTLE,"LITTLE AND CO., INC.",,10/9/2024,,,,,0,*MAIN,Main Warehouse,,,4,19006.2,0,0,0,0,19006.2,0,0,62675,,(UnAssigned),0,Y,R,Received,Y,NATE,10/9/2024,Call,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,61767,"LITTLE AND CO., INC.",P.O. BOX 1849,,EATON PARK,FL,33840-1849,,TOM HARMON,1-863-665-4887,1-561-547-8506,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/9/2024 11:39:15 AM,NATE,10/9/2024 11:39:15 AM,NATE
215241,8/27/2024,BOCBOA,"BOCKS BOARD PACKAGING,INC",,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,6,8913.75,0,0,0,0,8913.75,0,11660.4,0,,(UnAssigned),0,Y,R,Received,Y,NATE,8/27/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,136406,"BOCKS BOARD PACKAGING,INC",2431 OSBORNE ROAD,SUITE C,ST MARYS,GA,31558,,SHERREE SOUTHWICK,1-877-210-0418,1-912-510-6488,N30,N,N,Best Way,P,3000,7000,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,8/27/2024 9:32:24 AM,NATE,8/27/2024 9:32:24 AM,NATE
215283,9/27/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,2,559.98,0,0,0,0,559.98,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,9/27/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,828287367,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/27/2024 12:57:11 PM,NATE,9/27/2024 1:34:45 PM,NATE
215286,9/30/2024,DADEP100,DADE PAPER,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,11,2163.42,0,0,0,0,2163.42,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,9/30/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35545099,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/30/2024 1:39:28 PM,NATE,10/7/2024 1:25:39 PM,NATE
215287,9/30/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,2,1124.48,0,0,0,0,1124.48,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,9/30/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,828287383,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,9/30/2024 2:02:31 PM,NATE,9/30/2024 2:02:31 PM,NATE
215289,10/1/2024,AMSAN100,THE HOME DEPOT PRO INSTITUTIONAL,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,4,2434.92,0,0,0,0,2434.92,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/1/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,828552737,THE HOME DEPOT PRO INSTITUTIONAL,4601 BULLS BAY HWY,,JACKSONVILLE,FL,32219,,BRIAN SEYMOUR,904-421-1400,,N30,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/1/2024 1:43:11 PM,NATE,10/7/2024 1:19:54 PM,NATE
215290,10/1/2024,DADEP100,DADE PAPER,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,7,1696.54,0,0,0,0,1696.54,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/1/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,35569505,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/1/2024 1:45:11 PM,NATE,10/7/2024 1:24:03 PM,NATE
215291,10/1/2024,SOUPAP,SOUTHEASTERN PAPER GROUP,,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,2,332,0,0,0,0,332,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/1/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,6257956,SOUTHEASTERN PAPER GROUP,3850-7 PORT JACKSONVILLE PARKWAY,,JACKSONVILLE,FL,32226,,TAMMY LEWIS,1-800-632-1296  X3120,,N30,N,N,Best Way,P,1000,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/1/2024 2:52:16 PM,NATE,10/1/2024 2:52:16 PM,NATE
215297,10/7/2024,BOXPAC,"BOX ACQUISITIONS, LLC",,10/7/2024,,,,,0,*MAIN,Main Warehouse,,,2,816,0,0,0,0,816,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/7/2024,Call,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,INV017658089,"BOX PACKAGING, INC.",2650 GALVIN DR,,ELGIN,IL,60124,,,847-783-9000,,130,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/7/2024 1:27:41 PM,NATE,10/7/2024 1:27:41 PM,NATE
215240,8/26/2024,BERWIP,BERK WIPER CONVERTING,,10/4/2024,,,,,0,*MAIN,Main Warehouse,,,1,8316,0,0,0,0,8316,0,0,9072,,(UnAssigned),0,Y,R,Received,Y,NATE,8/26/2024,EMail,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,0424349-IN,BERK WIPER CONVERTING,400 EAST 2ND STREET,,BOYERTOWN,PA,19502,,BOB LEE,1-866-222-2375,1-610-369-0840,CC,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,8/26/2024 3:03:36 PM,NATE,8/26/2024 3:03:36 PM,NATE
215294,10/4/2024,BOXPAC,"BOX ACQUISITIONS, LLC",,10/4/2024,,,,,0,*MAIN,Main Warehouse,,,1,416.12,0,0,0,0,416.12,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,10/4/2024,Call,N,Y,NATE,PO,PO,2024,10,2,Y,N,Y,INV017648946,"BOX PACKAGING, INC.",2650 GALVIN DR,,ELGIN,IL,60124,,,847-783-9000,,130,N,N,Best Way,P,0,0,0,"Florida Sales Unlimited, Inc.",545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,10/4/2024 12:20:43 PM,NATE,10/4/2024 12:20:43 PM,NATE
